date,symbol,price
2014-02-01,AMZN,346.2
2014-03-01,AMZN,359.8
2014-04-01,AMZN,343.0
2014-05-01,AMZN,308.0
2014-06-01,AMZN,308.8
2014-07-01,AMZN,332.5
2014-08-01,AMZN,307.0
2014-09-01,AMZN,342.5
2014-10-01,AMZN,317.5
2014-11-01,AMZN,305.8
2014-12-01,AMZN,326.0
2015-01-01,AMZN,308.5
2015-02-01,AMZN,364.5
2015-03-01,AMZN,385.8
2015-04-01,AMZN,370.2
2015-05-01,AMZN,422.8
2015-06-01,AMZN,431.0
2015-07-01,AMZN,437.5
2015-08-01,AMZN,535.0
2015-09-01,AMZN,496.5
2015-10-01,AMZN,520.5
2015-11-01,AMZN,628.5
2015-12-01,AMZN,679.0
2016-01-01,AMZN,637.0
2016-02-01,AMZN,575.0
2016-03-01,AMZN,579.0
2016-04-01,AMZN,598.5
2016-05-01,AMZN,684.0
2016-06-01,AMZN,719.5
2016-07-01,AMZN,725.5
2016-08-01,AMZN,767.5
2016-09-01,AMZN,770.5
2016-10-01,AMZN,836.5
2016-11-01,AMZN,785.5
2016-12-01,AMZN,743.5
2017-01-01,AMZN,753.5
2017-02-01,AMZN,832.5
2017-03-01,AMZN,853.0
2017-04-01,AMZN,891.5
2017-05-01,AMZN,948.0
2017-06-01,AMZN,996.0
2017-07-01,AMZN,953.5
2017-08-01,AMZN,996.0
2017-09-01,AMZN,978.0
2017-10-01,AMZN,959.0
2017-11-01,AMZN,1104.0
2017-12-01,AMZN,1162.0
2018-01-01,AMZN,1189.0
2018-02-01,AMZN,1390.0
2018-03-01,AMZN,1493.0
2018-04-01,AMZN,1372.0
2018-05-01,AMZN,1582.0
2018-06-01,AMZN,1642.0
2018-07-01,AMZN,1714.0
2018-08-01,AMZN,1797.0
2018-09-01,AMZN,2040.0
2018-10-01,AMZN,2004.0
2018-11-01,AMZN,1666.0
2018-12-01,AMZN,1772.0
2019-01-01,AMZN,1539.0
2019-02-01,AMZN,1626.0
2019-03-01,AMZN,1672.0
2019-04-01,AMZN,1814.0
2019-05-01,AMZN,1912.0
2019-06-01,AMZN,1693.0
2019-07-01,AMZN,1922.0
2019-08-01,AMZN,1855.0
2019-09-01,AMZN,1790.0
2019-10-01,AMZN,1736.0
2019-11-01,AMZN,1791.0
2019-12-01,AMZN,1782.0
2020-01-01,AMZN,1898.0
2020-02-01,AMZN,2004.0
2020-03-01,AMZN,1954.0
2020-04-01,AMZN,1908.0
2020-05-01,AMZN,2286.0
2020-06-01,AMZN,2472.0
2020-07-01,AMZN,2878.0
2020-08-01,AMZN,3112.0
2020-09-01,AMZN,3500.0
2020-10-01,AMZN,3222.0
2020-11-01,AMZN,3004.0
2020-12-01,AMZN,3220.0
2021-01-01,AMZN,3186.0
2021-02-01,AMZN,3342.0
2021-03-01,AMZN,3146.0
2021-04-01,AMZN,3160.0
2021-05-01,AMZN,3386.0
2021-06-01,AMZN,3218.0
2021-07-01,AMZN,3432.0
2021-08-01,AMZN,3332.0
2021-09-01,AMZN,3480.0
2021-10-01,AMZN,3284.0
2010-01-01,GOOG,312.2
